Designator,Mid X,Mid Y,Rotation,Layer
C1,63.0,-26.1,270.0,top
C10,85.35,-65.2125,90.0,top
C2,75.025,-22.24,0.0,top
C3,65.3,-44.32,180.0,top
C4,65.3,-67.85,180.0,top
C5,65.5,-60.2,180.0,top
C6,86.3875,-54.85,180.0,top
C7,84.2725,-22.91,0.0,top
C8,99.6775,-53.37,0.0,top
C9,56.6,-26.25,270.0,top
D1,89.82125,-59.7,180.0,top
D2,64.825,-31.7,180.0,top
D3,78.03,-72.075,270.0,top
J1,97.25,-38.7,180.0,top
J10,7.2,-52.64,0.0,top
J11,79.6,-26.86,180.0,top
J2,91.2,-38.7,180.0,top
J3,15.4,-36.12,180.0,top
J4,59.98,-45.31,180.0,top
J5,84.6,-30.1,180.0,top
J6,69.25,-68.29,180.0,top
J7,105.43,-76.6,90.0,top
J8,90.635,-65.18,90.0,top
J9,70.15,-26.145,0.0,top
Q1,75.0875,-25.9,0.0,top
Q2,73.4,-69.28,180.0,top
R1,55.6125,-65.6,0.0,top
R10,56.81,-32.1375,270.0,top
R11,65.35,-65.7,0.0,top
R12,80.7,-60.5,90.0,top
R13,76.43,-72.07,90.0,top
R2,55.5875,-60.5,0.0,top
R3,65.775,-25.17,180.0,top
R4,75.45,-29.55,90.0,top
R5,86.32125,-59.7,180.0,top
R6,64.825,-30.1,0.0,top
R7,86.7,-42.7,180.0,top
R8,86.7,-40.7,180.0,top
R9,81.85,-35.75,180.0,top
U1,73.35,-54.375,90.0,top
U2,73.5,-38.5,90.0,top
U4,65.4,-70.65,180.0,top
